year,民間消費,政府消費,資本形成,商品及服務輸出,商品及服務輸入,實質總gdp,year1,民間消費佔比,政府消費佔比,資本形成佔比,商品及服務輸出佔比,商品及服務輸入佔比,經濟成長
1981,1431014,610226,1075277,764625,924360,2956782,1981,0.483976837,0.206381803,0.363664619,0.258600397,0.312623656,0.071
1982,1511729,652456,1012976,778243,893322,3062082,1982,0.49369318,0.21307594,0.330812826,0.254154853,0.291736799,0.0481
1983,1611419,691551,1034295,915356,986426,3266195,1983,0.493362766,0.211729857,0.316666641,0.280251485,0.30201075,0.0902
1984,1755414,753193,1052255,1087837,1123714,3524985,1984,0.497991906,0.213672682,0.298513327,0.308607554,0.31878547,0.1005
1985,1848530,805085,965958,1111541,1075563,3655551,1985,0.50567753,0.220236293,0.264244159,0.304069345,0.294227327,0.0481
1986,1989327,837076,1032291,1423037,1322859,3958872,1986,0.502498439,0.211443058,0.260753821,0.359455168,0.334150485,0.1151
1987,2217977,927927,1273452,1714457,1690902,4442911,1987,0.499217067,0.208855635,0.286625593,0.385885965,0.380584261,0.1275
1988,2531267,1003949,1627491,1827011,2109703,4880015,1988,0.51870066,0.205726622,0.333501229,0.374386349,0.43231486,0.0802
1989,2891836,1141416,1644202,1914032,2255045,5336441,1989,0.54190349,0.213890868,0.308108344,0.358672006,0.422574708,0.0872
1990,3155969,1290415,1677569,1925389,2369814,5679528,1990,0.555674521,0.22720462,0.2953712,0.339005107,0.417255448,0.0554
1991,3399946,1386701,1887184,2184878,2733335,6125374,1991,0.555059332,0.22638634,0.308092861,0.356692995,0.446231528,0.0837
1992,3737485,1426239,2138216,2342425,3002058,6642307,1992,0.56267875,0.214720428,0.321908638,0.352652324,0.45196014,0.0831
1993,4042773,1470977,2281521,2524213,3239340,7080144,1993,0.571001522,0.207760887,0.322242175,0.356520009,0.457524593,0.0681
1994,4393868,1480264,2456749,2657732,3371814,7616799,1994,0.576865426,0.194342006,0.322543499,0.348930305,0.442681237,0.075
1995,4558418,1680400,2548804,2984786,3698299,8074109,1995,0.564572264,0.208122036,0.315676194,0.369673731,0.458044225,0.065
1996,4882344,1798581,2585832,3200703,3911574,8555886,1996,0.570641544,0.210215634,0.302228431,0.374093694,0.457179303,0.0618
1997,5229464,1902564,2900863,3473071,4439037,9066925,1997,0.576762684,0.209835639,0.319939009,0.383048387,0.48958572,0.0605
1998,5578723,1993787,3128056,3555373,4775784,9480155,1998,0.588463269,0.210311646,0.329958318,0.375033214,0.503766447,0.042
1999,5871501,1945798,3184884,3982927,4970959,10014151,1999,0.586320398,0.194304839,0.318038344,0.397729872,0.496393454,0.0673
2000,6179123,1957996,3394150,4675816,5702829,10504256,2000,0.588249468,0.186400255,0.323121409,0.445135381,0.542906513,0.0631
2001,6266946,2013348,2696826,4351942,4962150,10366912,2001,0.604514247,0.194209037,0.260137831,0.419791544,0.47865266,-0.014
2002,6485049,2050301,2740185,4889288,5329146,10835677,2002,0.598490431,0.189217619,0.252885445,0.451221276,0.491814771,0.0548
2003,6670282,2038798,2850858,5421767,5776900,11204805,2003,0.595305496,0.181957473,0.254431737,0.483878747,0.515573453,0.0422
2004,7019975,2062931,3333722,6306735,6817611,11905752,2004,0.589628862,0.173271793,0.28000936,0.529721684,0.572631699,0.0695
2005,7254777,2073480,3372419,6835555,7065928,12470303,2005,0.581764292,0.166273426,0.270436011,0.548146665,0.566620394,0.0538
2006,7384072,2062677,3437619,7676119,7484227,13076260,2006,0.564692963,0.157742122,0.262890077,0.587027101,0.572352263,0.0577
2007,7561308,2108241,3459059,8540958,7824559,13845007,2007,0.546139702,0.152274463,0.249841622,0.616898063,0.565153849,0.0685
2008,7430049,2143085,3241892,8783829,7727969,13870886,2008,0.535657852,0.154502387,0.233719173,0.63325652,0.557135932,0.08
2009,7427132,2212439,2609718,8034612,6737706,13546195,2009,0.548281787,0.163325495,0.192653214,0.593126852,0.497387348,-0.0161
2010,7703014,2238401,3538043,10255389,8766869,14967978,2010,0.514632905,0.149545984,0.236374145,0.685155269,0.585708303,0.1025
2011,7936336,2287674,3325175,10654521,8750115,15453591,2011,0.51355934,0.148035107,0.215171671,0.689452762,0.566218881,0.0367
2012,8088499,2341729,3267488,10856621,8786748,15767589,2012,0.512982613,0.14851535,0.207228131,0.688540334,0.557266428,0.0222
2013,8295114,2309864,3427131,11205236,9073498,16163847,2013,0.513189342,0.14290311,0.212024464,0.693228289,0.561345205,0.0248
2014,8602399,2397202,3639428,11876154,9584756,16930427,2014,0.508102897,0.141591349,0.214963745,0.701468073,0.566126064,0.0472
2015,8848554,2394167,3732628,11918840,9711038,17183151,2015,0.514955261,0.139332245,0.217226049,0.693635294,0.565148848,0.0147
2016,9082075,2482242,3797566,11808128,9614743,17555268,2016,0.51734186,0.141395848,0.216320594,0.672625904,0.547684205,0.0217
2017,9327236,2472048,3768727,12339710,9771132,18136589,2017,0.514277299,0.136301705,0.207796902,0.680376558,0.538752463,0.0331
2018,9518819,2571378,4030119,12363847,9847257,18636906,2018,0.510751033,0.137972365,0.216243995,0.66340663,0.528374023,0.0279
2019,9733104,2585465,4324156,12449233,9895853,19196105,2019,0.50703536,0.134686959,0.225262156,0.648529116,0.51551359,0.0306
2020,9486505,2652760,4622842,12600754,9540855,19822006,2020,0.478584509,0.133829038,0.233217667,0.635695197,0.481326411,0.0336
